id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
2223,Han Solo,Yoda,Luke Skywalker,Han Solo,The others are Jedi Knights,Anakin Skywalker
2224,The Statue of Zeus at Olympia,The Terracotta Army,The Great Pyramid of Giza,The Terracotta Army,The others are Ancient Wonders of the World.,The Colossus of Rhodes
2225,Killer Frost,Batman,The Atom,Batman,The others have superhuman abilities.,Superwoman
2226,Beryllium,Lithium,Helium,Helium,The others are Alkali and Alkaline Earth Metals,Sodium
2227,Hannibal,Julius Caesar,Marc Antony,Hannibal,The others are Roman politicians.,Lepidus
2228,Insect,Bird,Lizard,Insect,The others are vertebrates.,Fish
2229,Beef Bourguignon,Souvlaki,Coq au Vin,Tiramisu,The others are savory dishes,Tiramisu
2230,Fred Flintstone,Elmer Fudd,Donald Duck,Donald Duck,The others are from Hanna-Barbera cartoons.,Barney Rubble
2231,Claude Monet,Piet Mondrian,Kazimir Malevich,Claude Monet,The others are associated with abstract art.,Henri Matisse
2232,Comet,Hail,Snow,Comet,The others are forms of precipitation,Rain
2233,Hermione Granger,Ron Weasley,Harry Potter,Draco Malfoy,The others are Gryffindor students in Harry Potter.,Draco Malfoy
2234,Paris,Dublin,Tokyo,Tokyo,The others are in Europe,Madrid
2235,Wonder Woman,Hawkgirl,Martian Manhunter,The Penguin,The others are from Justice League.,The Penguin
2236,Barometer,Altimeter,Anemometer,Altimeter,The others measure atmospheric conditions.,Thermometer
2237,John Constable,JMW Turner,Pablo Picasso,Pablo Picasso,The others are British artists,Thomas Gainsborough
2238,Pico della Mirandola,Marsilio Ficino,Desiderius Erasmus,John Locke,The others are Renaissance philosophers.,John Locke
2239,Basalt,Granite,Shale,Basalt,The others are sedimentary rocks.,Mudstone
2240,Rose,Elm,Spruce,Rose,The others are types of trees.,Ash
2241,Forum,Agora,Symposium,Market,The others are places for discussion and debate in ancient societies.,Market
