obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Han Solo,Yoda,Luke Skywalker,Han Solo,The others are Jedi Knights,Anakin Skywalker
The Statue of Zeus at Olympia,The Terracotta Army,The Great Pyramid of Giza,The Terracotta Army,The others are Ancient Wonders of the World.,The Colossus of Rhodes
Killer Frost,Batman,The Atom,Batman,The others have superhuman abilities.,Superwoman
Beryllium,Lithium,Helium,Helium,The others are Alkali and Alkaline Earth Metals,Sodium
Hannibal,Julius Caesar,Marc Antony,Hannibal,The others are Roman politicians.,Lepidus
Insect,Bird,Lizard,Insect,The others are vertebrates.,Fish
Beef Bourguignon,Souvlaki,Coq au Vin,Tiramisu,The others are savory dishes,Tiramisu
Fred Flintstone,Elmer Fudd,Donald Duck,Donald Duck,The others are from Hanna-Barbera cartoons.,Barney Rubble
Claude Monet,Piet Mondrian,Kazimir Malevich,Claude Monet,The others are associated with abstract art.,Henri Matisse
Comet,Hail,Snow,Comet,The others are forms of precipitation,Rain
Hermione Granger,Ron Weasley,Harry Potter,Draco Malfoy,The others are Gryffindor students in Harry Potter.,Draco Malfoy
Paris,Dublin,Tokyo,Tokyo,The others are in Europe,Madrid
Wonder Woman,Hawkgirl,Martian Manhunter,The Penguin,The others are from Justice League.,The Penguin
Barometer,Altimeter,Anemometer,Altimeter,The others measure atmospheric conditions.,Thermometer
John Constable,JMW Turner,Pablo Picasso,Pablo Picasso,The others are British artists,Thomas Gainsborough
Pico della Mirandola,Marsilio Ficino,Desiderius Erasmus,John Locke,The others are Renaissance philosophers.,John Locke
Basalt,Granite,Shale,Basalt,The others are sedimentary rocks.,Mudstone
Rose,Elm,Spruce,Rose,The others are types of trees.,Ash
Forum,Agora,Symposium,Market,The others are places for discussion and debate in ancient societies.,Market
The Statue of Liberty,The Venus de Milo,The Thinker,The Statue of Liberty,The others are ancient sculptures,The Venus of Willendorf
Neon,Sulfur,Oxygen,Neon,The others are Chalcogens,Selenium
The Flash,Two-Face,The Riddler,Green Arrow,The others are Batman villains,Green Arrow
Blacksmith,Carpenter,Baker,Baker,The others work with metal in some form.,Farrier
Thomas Edison,Nikola Tesla,Albert Einstein,Albert Einstein,The others are inventors of electrical devices,Alexander Graham Bell
Salvador Dali,Titian,Michelangelo,Salvador Dali,The others are Italian Renaissance artists.,Raphael
Oak,Pecan,Maple,Oak,The others are types of wood used to smoke food,Hickory
Fennel,Cayenne,Rosemary,Cayenne,The others are herbs used in European cuisine,Dill
Joseph Haydn,Robert Schumann,George Frideric Handel,Robert Schumann,The others are classical composers,Mozart
Blini,Pancakes,Enchiladas,Blini,The others are Mexican dishes,Tacos
